,Title,Location,Company,Salary,Description
24,Bar/Waiting Staff,Aylesbury HP20,Kuzzu Turkish Bar & Grill,,"Company description
Kuzzu is a family run Turkish restaurant based within the centre of Aylesbury. We offer a variety of Mediterranean dishes such as meze’s, and charcoal grilled meat, as well as an open bar offering specialist cocktails, and a variety of alcoholic and non-alcoholic beverages.
Job description
We have a part-time permanent position available for a person to join our friendly restaurant team to assist with providing our guests with exceptional and attentive service. If you have a smiley, happy demeanor along with excellent customer service skills this could be the job for you.
Duties will include:
· Setting up tables
· Serving food and drinks
· Clearing tables
· Drying glasses
· General restaurant cleaning duties
· Restocking drinks
· Making drinks where required
Previous experience preferred, however, not required as full training will be provided.
Benefits include a share of tips between all staff and a free meal at the end of your shift.
Our waiting staff must:
· Be reliable
· Be flexible
· Have a strong work ethic and be able to work exceptionally as part of a team
· Thrive in a busy working environment
· Be able to use their own initiative
There will be a trial shift and an immediate start available for the right candidate.
Part-time hours: 15-35 per week
Job Types: Part-time, Permanent
Salary: £6.50-£9.00 per hour
Additional pay:
Tips
Benefits:
Discounted or free food
Flexible schedule
On-site parking
Schedule:
Holidays
Monday to Friday
Weekends
Experience:
serving/bar: 1 year (Preferred)
Duties:
Greeting and seating customers
Taking orders for food and drink
Serving food
Serving alcohol
Cleaning and resetting tables with dishes, glasses, and flatware as needed
Answering phone calls
Placing take-away orders
Prep or side work
Preparing cheques and processing payments
Cleaning duties such as stocking, sanitising, sweeping floors, washing dishes, etc.
Work remotely:
No"
25,Experienced Bar Staff,Bath,Cappadocia Turkish Restaurant,,"We are looking for hardworking, experienced bar staff who are used to working in a fast paced environment and as part of a team. We provide a free meal/two free meals per shift depending on how many hours you work and tips are on top of the wage. Please only apply if you have experience and would like to start working ASAP.
Job Types: Full-time, Part-time
Salary: £9.00-£11.00 per hour
Additional pay:
Tips
Benefits:
Discounted or free food
Schedule:
10 hour shift
8 hour shift
Weekends
Work remotely:
No"
26,Persian Language Talent Programme,Birmingham,Government Communications Headquarters (GCHQ),,"If you’re studying for a degree in Persian, GCHQ and MI5 two of the UK’s intelligence agencies, are offering you an exciting opportunity to join their Language Talent Programme.

THE ROLE

GCHQ and MI5 employ highly skilled Language Analysts in a variety of exciting and rewarding roles. The Language Talent Programme is an 11-week paid scheme for language interns at either GCHQ’s headquarters in Cheltenham (Mandarin, Turkish and Persian) or MI5’s headquarters in London (Mandarin only). Regardless of agency or location, you’ll be a fully integrated member of an analysis team, using your language skills to contribute directly to our work and really make a difference.

Your language skills and cultural knowledge will be central to all the work you do while on your placement with us. The precise nature of the role will depend on the agency, but you’ll work on a project which could involve analysing, transcribing and translating audio or textual material (which may be technical or specialist in nature), assessing data for intelligence value using bespoke analytical tools and techniques, drafting intelligence reports, conducting research using a variety of tools, providing investigators and agent handlers with contextual cultural knowledge, delivering briefings to the team and liaising with customers and partners. Your skills will have a genuine impact on the team’s work and help enable the team and organisation to fulfill its goals.

At the end of the scheme, you’ll have the opportunity to sit the graduate-entry language and analysis tests. If you pass these tests and a competency interview, we’ll offer you a permanent position as a Language Analyst, subject to there being vacancies at that time.

REQUIREMENTS

We’re looking for talented, flexible and committed individuals from all backgrounds. You’ll currently be an undergraduate in your final year of studying Persian. Ideally, you’ll have completed your year abroad (where possible; we understand COVID-19 may have curtailed this) and have, or be on course to develop, the high-level language skills we need. You’ll have an interest in using your language in your career and be keen to develop your skills. For roles at GCHQ, although you may not already have a technical background, you’ll be open to learning new technical skills to complement your language ability.

GCHQ and MI5 can offer long and rewarding careers which combine these language, technical and analytical skills, and we’re looking to select participants for this programme who have an aspiration to work with us long term.

TRAINING AND DEVELOPMENT

GCHQ and MI5 have an inclusive and supportive working environment that’s designed to encourage open minds and attitudes. We value and nurture talent and are committed to helping you fulfill your potential. You’ll receive a comprehensive training and development package in both language and analysis that will include classroom-based learning and hands-on training, which will enable you to grow your skills and perform to the best of your abilities.

Throughout your internship and career, you’ll be supported by trained professionals and language mentors within our collaborative learning environment. You’ll have genuine responsibility from an early stage while still maintaining a healthy work-life balance.

ABOUT GCHQ

GCHQ works to keep the UK safe and secure in the challenging environment of modern communications. The online threats that the UK faces every day are many and varied, and cyber criminals, terrorists, hackers, fraudsters and organised criminal gangs are all using ever more sophisticated technology. These threats to UK national security come in a multitude of different languages and GCHQ’s Language Analysts use their expert language skills to piece together snippets of information gathered from a variety of digital communications sources.

EQUAL OPPORTUNITIES STATEMENT

GCHQ and MI5 are Disability Confident and Equal Opportunities employers, committed to reflecting the society we protect. Our recruitment process is fair, transparent and based on merit. We particularly welcome applications from diverse and under-represented groups.

SALARY

While on the Language Talent Programme, you will receive a salary of £25,040 per annum at GCHQ, pro-rata over 11 weeks (includes a concessionary payment).

Applicants who pass the end-of-programme graduate-entry language and analysis tests and assessment centre, and who are made and accept an offer of employment at GCHQ, will receive a starting salary of £30,831 (includes a concessionary payment). This would rise to £33,831 upon successful completion of your 6-month probation period.
LOCATION

The placements will be in Cheltenham.

To be eligible to apply for this position you must meet our nationality, residency and security requirements. Full details of these requirements can be found on the GCHQ and MI5 Recruitment websites.

Be prepared to dedicate 60-90 minutes towards completing this application. We’re conscious this might be more time than you expected, so our system will allow you to save your application at any time and come back to it later. But remember to submit your full application before the closing date of 19 October 2020.

If you meet the minimum eligibility and application sift criteria, the next steps of this selection process will be:

First stage - Language tests and drug test (will be held week commencing 9 November 2020*)
Second stage - Assessment centre, comprising an interview and a preliminary vetting chat (will be held week commencing 30 November 2020*)

We are planning our recruitment activity in uncertain and quickly changing times. We reserve the right to postpone these dates due to the ongoing situation with Covid-19.

Face-to-face language testing (with social-distancing in a COVID-secure environment) will be held in Gloucestershire (and potentially London) with the second stage of assessment taking place virtually.

If you are successful in the selection process, you’ll receive a job offer, conditional upon you completing our developed vetting (DV) process that enables you to obtain the level of security clearance required to undertake this role.
Please be aware that we withhold the right to bring forward the closing date for this role from the original closing date once a certain number of applications have been received. Please be mindful of this and submit your application at your earliest convenience to avoid disappointment."
27,Hotel & Travel Consultant - Luton Airport,Luton Airport,Hotel Connections,,"Hotel Connections, the leader in Hotel Accommodations & Logistic for airlines and cruise lines is currently hiring and has an immediate opening. This is your chance to join a fast-paced employee driven company.
The Hotel & Travel Consultant is responsible for the timely and efficient handling of inbound inquiries, to source hotel and transportation needs of clients and their passengers. The Hotel & Travel Consultant will support the OCC team and associated clients with a variety of different issues system related in an efficient and timely manner by taking ownership of each case from beginning to end. In addition, the Hotel & Travel Consultant will liaison with other departments to ensure a swift and consistent problem resolution.
SKILLS Requirements
To perform the job successfully, an individual should demonstrate the following:
Passionate about customer service and must have relevant work experience
Excellent mental capacity to make quick, smart, and rational decisions using common sense and positive attitude
Effective communication skills and great listening skills
Commitment to continuous improvements, changes and has a willingness to learn
Thinks creativity and strong analytical and problem-solving skills
Self-motivated and able to work independently and as part of a team
Excellent negotiations skills using different channels and methods of communications (phone or email)
Excellent interpersonal and client relationship skills
Ability to work in a call centre / service desk environment
Powerful verbal and written communication skills
Ability to handle multiple tasks, priorities under pressures and challenging interactions in a high-volume, fast-paced, and target-based environment
Ability to follow complex and dynamic Standard Operating Procedures (SOPs)
Ability to manage and provide feedback to all types of individuals
Proficient with Microsoft Office (Word, Excel, Outlook)
Proficiency with SABRE (preferred)
Hours of Work: you will be required to work a basic 48 hours per week on a varying day and night shift rotation, as determined by the staffing and pattern of work published in the local staffing roster. This will include the requirement to work nights, weekends and public holidays according to the roster of work needed to meet the requirements of the business.
Minimum Requirments
High School Diploma or higher qualification is required with one years' experience of hotel/travel industry experience is necessary.
Fluent in English and at least one more languages (Italian, German, French, Spanish, Portuguese, Arabic, Greek, Turkish, Mandarin)
Proficiency in Microsoft Outlook, Word, Excel, and PowerPoint software
Additional Application Instructions
application must include cv or will be automatically rejected This is a shift job, shift pattern is 4 on 4 off, 12 hours per shift - Day and night
Reference ID: H&TC-LTN
Job Types: Full-time, Permanent
Pay: £20,000.00-£21,000.00 per year
Benefits:
Gym membership
On-site parking
Schedule:
12 hour shift
Work remotely:
Temporarily due to COVID-19"
28,Bar Assistant,Liverpool,Istanbuls,,"We are looking for a enthusiastic bar tender to provide excellent guest experience
Creating classic cocktails with our Turkish twist.
Plan and present bar menu
Check customers identification to meet the legal guidelines
Restock and replenish bar inventory and supplies
Stay guest focused
Positive attitude and great communication skills
Ability to keep the bar clean stocked and well presented
Job Type: Full-time
Additional pay:
Tips
Benefits:
Discounted or free food
Schedule:
8 hour shift
Night shift
Weekends
Work remotely:
No"
29,Payroll Administrator,London N15,Maximise Potential Skills,,"Can YOU speak TURKISH? Are you tired of commuting far to work and want to work closer to home? Have you got 3 years experience within payroll? Then this ROLE is for YOU!
An innovative and niche accountant firm is seeking a payroll administrator to join their team.
You must:
Have atleast 3 years experience within payroll
Speak Turkish fluently as 90% of clients are Turkish
Be organised and motivated
Live in or near Harringay
IMMEDIATE INTERVIEWS FOR THE RIGHT CANDIDATE AND START DATE ASOON AS POSSIBLE!
APPLY NOW!
Expected start date: 21/09/2020
Job Types: Full-time, Permanent
Salary: £24,000.00 per year
Benefits:
On-site parking
Sick pay
Schedule:
8 hour shift
Monday to Friday
Experience:
Payroll: 3 years (Required)
Language:
Turkish (Required)
Work remotely:
No"
30,Waiter and Bartender,Colindale Station,Cielo Prlr,,"We are looking for floor staff (waiters / bartenders) either full time or part time at Cielor Prlr , which is a turkish restaurant + shisha Lounge based exactly outside Colindale Station . Motivational Payments and salary to be discussed privately .
Job Types: Full-time, Part-time, Temporary, Permanent
Additional pay:
Tips
Benefits:
Discounted or free food
Employee discount
Flexible schedule
Sick pay
Schedule:
Day shift
Monday to Friday
Night shift
Weekends
Experience:
Bartending: 1 year (Preferred)
serving: 1 year (Preferred)
customer Service: 1 year (Preferred)
Hospitality: 1 year (Preferred)
Location:
Colindale Station (Preferred)
Job Duties:
Provide excellent customer service by taking orders and serving beverages to guests in accordance with company standards
Handle payments and float in accordance with company standards
Ensure that the bar, front-of-house, and other areas are clean and maintained
Work remotely:
No"
31,PPC Executive,London,Kinetic Investments,,"Kinetic Investments is a start-up accelerator company that provide entrepreneurs with the capital and support required to transform their vision into a success. We work closely with start-ups to accelerate their growth; design, development, marketing, administration and business strategy.
The Role
As a PPC Executive your sole focus will be to maintain company paid search accounts, optimise and expand them as per targets set by management. You will sit with and be nurtured by a team of specialists with years of experience, building on top of your current knowledge base.
Responsibilities:
Developing and managing all aspects of a paid search campaign including planning, executing, reporting and tracking activities across multiple search engines.
Analysing and reporting on paid search performance on a regular basis for all relevant KPIs to management and relevant areas of the business to provide insight.
Website analysis – provide optimisation for landing pages including; structures, titles, h tags, content and other factors.
Overall research – provide reports on keywords, trends, questions and general search-related queries. Identify new ideas, spot campaign flaws and more.
Data analysis – using AdWords and Analytics to analyse website traffic, ads, conversions and optimal performance.
Reporting – create, monitor and continue to report on campaign performance, via traffic, sales and conversion.
Campaign management – performing day-to-day tasks such as; writing creative ad copy, monitoring negative keywords, allocating budgets, optimisation and bid adjustments.
Keep pace with search engine and PPC industry trends and developments.
Key Requirements:
0-1 years’ experience managing paid search campaigns, demonstrable.
A degree or background in an analytical field such as Maths, Statistics, Economics, Computer Science would also be an asset
Experience in managing international PPC campaigns would be beneficial
Experience and knowledge of retail trading / binary options.
Experience of using google analytics or other web analysis platforms
Excellent Excel skills, you find spending time with Excel a pleasure not a chore (and any experience with databases Using SQL, MySQL or Access would also be a plus)
Strong commercial acumen, highly numerate and analytical with a passion for analysis and the ability to turn the data into actions. You like reports and numbers but only when they help you to achieve your goals.
Exceptional attention to detail and the ability to work towards tight deadlines within a fast-paced environment. You take ownership of the task, you are results driven, you take pride in a job well done and you don’t like to fail.
Any additional language (one of Spanish, German, Japanese, Mandarin, Russian, Polish, Turkish) is preferable but not essential.
Traits
This is your opportunity to join a company on a fast-growth path, in a role that will accelerate with no barriers:
Passion & Positive Attitude – You have great energy and are extremely self-motivated.
Team Player – You work well in a collaborative, team-based environment + individually. You talk, share, motivate and enjoy time with your peers.
Communicator – You can clearly and articulately communicate in English (written & verbal).
Entrepreneur – You are diamond in the rough, ready to shine.
Benefits
At Kinetic Investments we pride ourselves on the exceptional calibre of our team members. If you meet our standards and join us, you get some of the best benefits!
Our office is in one of the most innovative cities in the world, London.
You will have the chance to work with a super talented and fun team, and be part of an exhilarating, creative, oozing co-working space.
We have a relaxed, casual dress code and cool offices, with a view of London and a ping-pong table break whenever you need it.
We provide our team with a FREE lunch every week! Alongside free tea, coffee, breakfast cereals and fruit, daily.
Once per quarter, we take you out for a day of fun and activities.
Please provide ANY examples of your work… anything to show you are an innovative PPC Executive."
32,Research Assistant (Midwifery),London SE1 0AA,London South Bank University,,"Please note: This is a temporary post starting September 2020 & ending Dec 2020, the role is 2 days a week for 14 hours.
Purposes of the post
To support the completion of a Global Challenge Research Fund (GCRF) Scheme project, including undertaking a literature review, the preparation of an ethical application, the design of an on-line survey, analysis of results and completion of reports.
The research is on ""Sexual and Reproductive Health Literacy on Midwifes""
MAIN ACTIVITIES AND RESPONSIBILITIES
To work in collaboration with the Lead researcher to complete the funded study:
a. Contributing to the completion of a systematic review of the literature.
b. Contributing to the production of an ethical application and the design of an on-line survey
c. Analysis of on-line survey data
d. Preparing papers and presenting information on research progress and outcomes to funders.
e. Create presentation slides and posters as necessary to support the Lead researcher to present findings
SELECTION CRITERIA
D = Desirable, E = Essential
A. Practical experience and knowledge of research processes including for example ethical application, literature searching and reviewing, design and methodology (E).
B. An ability to read and write Turkish (D); understanding of women’s sexual and reproductive health issues (E).
C. To be committed to and have experience of the application of on-line survey software (e.g. Bristol on-line) (E). Knowledge of word processing, databases and spread sheets and use of the internet (E). Willingness and ability to learn new packages as necessary in order to fulfil the duties of the role (E). Ability to use video conferencing (E).
D. Ability to use initiative (E) and approach challenges in a flexible, creative and proactive way (E)
E. Ability to work to tight deadlines; to plan and prioritise; and to anticipate problems (E).
F. Highly effective interpersonal and communication skills (both oral and written) (E)
G. Ability to work both independently and as part of a team (E).
H. Ability to demonstrate an understanding of, and commitment to, equality and diversity
and its practical application (E).
Job Types: Part-time, Temporary
Salary: £20.45 per hour
Schedule:
8 Hour Shift
Experience:
Research Assistant : 1 year (Preferred)
Work remotely:
Temporarily due to COVID-19"
33,Turkish Speaking Bookkeeper / Office Manager,London SE16,Packaging Source,,"Packaging Source is a packaging products supplier, focusing on providing bespoke packaging solutions to multiple industries.
We are currently looking for a Bookkeeper & Office Manager to join our fast-paced and dynamic team.
You will be performing hands on bookkeeping, preparing and submitting VAT returns, preparing management accounts.
Your responsibilities include :
General book-keeping using Sage.
Drafting of monthly management accounts
Invoicing, including accounts receivable
Managing profit and loss statements and balance sheets
Expenses, including accounts payable * Bank reconciliation and petty cash * VAT returns
Financial analysis * Support on project costings and budgeting * Management of office supplies
Provide assistance to Directors/Executives
Handling Inbound & Outbound calls
Fluent English and Turkish speaking is also required for this job.
- Office hours are 9am-6pm Monday to Friday and we are located at the famous Biscuit Factory by Bermondsey Tube Station.
Our office space offers great atmosphere, creative environment, gym, cycle rack for your bicycles.
Job Types: Full-time, Permanent
Salary: £22,000.00-£24,000.00 per year
Schedule:
Monday to Friday
Experience:
Bookkeeping: 2 years (Preferred)
Sage: 2 years (Preferred)
Work remotely:
No"
34,Trade Assistant,Reading RG30 4BJ,N & B Foods Ltd,,"Trade Assistant Reading
Established in 1986, N & B Foods has grown from small enterprise into one of the leading independent food service companies in Southern England. Family owned and family run, our focus has always been delivering a wide range of products across frozen, ambient, chilled and non-foods at consistently low prices to catering premises right across southern England and South Wales.
Due to a sustained period of growth, we are currently looking for a Full time trade assistant at our Reading depot.
DUTIES & RESPONSIBILITIES
· Taking customer orders
· Cash handling / cash reconciliation.
· Picking customer orders
· Managing stock – ensuring all stock is correctly stored and rotated, arranging stock transfers etc.
· Ensuring all Health and Safety and good hygiene practices are strictly adhered to by all staff.
THE PERSON
· The ability to speak Turkish, Hindi or Urdu would be advantageous.
· Must have previous warehouse experience
· Must have good customer relation skills
· Possess good numeracy skills
· An interest in, knowledge of and/or experience within the Food/Retail sector desirable, but not essential.
This is a permanent role, working Monday to Friday 9am till 5pm and Saturday 12pm till 5pm.
You MUST be flexible regarding working times/hours.
You will receive a generous holiday allowance (28 days) and automatically enrolled on to pension scheme.
Job Types: Full-time, Permanent
Salary: £19,000.00 per year
Benefits:
On-site parking
Schedule:
Day shift
Weekends
Experience:
warehouse: 1 year (Required)
Location:
Reading RG30 4BJ (Preferred)
Language:
Turkish, Hindi or Urdu (Preferred)
Work remotely:
No"
35,Strategic Account Manager,London,Amazon UK Services Ltd.,,"Bachelor's degree in related business area or equivalent experience
Extensive experience in the mobile, e-commerce or digital media industries
Strong bias for action, and ability to work independently toward stated goals with minimal oversight
Excellent written and verbal English communication skills
Proven ability to communicate effectively with all teams and at all levels, both internally and externally
Proven ability to manage complex, multi-participant projects
Demonstrated understanding of marketing (channels, campaigns, messaging, performance measurement)
Excellent analytical skills and good grasp of mobile operator business models
Commercial acumen and excellent negotiation skills

Sr. Account Manager - Mobile Business Development – EMEA

The Amazon Mobile Business Development / Fuse team (‘MBD’) is responsible for growing partnerships and securing opportunities with Mobile Operators and device manufacturers (OEMs) worldwide. Our primary focus is the distribution of the Amazon Shopping app and Amazon’s digital subscription services like Prime, Prime Video and Amazon Music Unlimited through these partnerships.

We are currently seeking a professional to manage relationships with strategic telco partners across the EU, working with partner teams to agree, launch and manage offers that delight consumers while meeting both partners’ business objectives. The ideal candidate is a business executive with deep experience and proven ability in managing external partnerships, preferably in or working with the mobile industry.

As the Senior Account Manager – MBD/Fuse, your responsibilities will include:
Serve as the primary Amazon point of contact for assigned Mobile Operators, OEMs and other strategic partners
Act as the main point of contact into the partner on behalf of other Amazon teams, including Marketing, Finance, Legal, Technical and Product
Working with the Marketing team and the partner, implement end-customer promotional campaigns
Track, analyze, report on and – working with the partners – optimize program results
Lead periodic partner business reviews, both face-to-face and remote
Manage partner escalations
Write and present partner plans and results to Amazon senior management on a regular basis
Negotiate and conclude product-level deal extensions with partners

MBA
Demonstrated experience working with digital subscription services
Marketing background, experience delivering Go To Market campaigns
Strong verbal communication skills in a language other than English (e.g., Spanish, Portuguese, Turkish, Italian, Arabic)

Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. All offers are conditional on references, verification of the right to work in the UK, and a successful background screening check. This check will include previous employment verification, qualification verification (if relevant) and a basic criminal check. Further details of this policy and procedure will be sent to you along."
36,Cover Supervisor (Term time only),London E17 5DP,United Learning,,"About United Learning

United Learning is a unique group of independent and state schools working together to achieve the best in everyone. Our vision is to provide excellent education so that all young people are able to make a success of their lives and, if we are to realise this vision, we need to make sure we attract, develop and reward the key ingredient – you.

Job Introduction

Opportunity to play a role in the development of our highly successful

Academy. We seek an outstanding and innovative Cover Supervisor. As the Cover Supervisor, you would teach lessons in the absence of their regular teacher. Work for the students will be provided. You will need to be able to work independently, with initiative, and be flexible.

We know that outstanding supervisors have transferable skills and are confident and effective in all aspects of their role but we also recognise that you will need support and challenge yourself so that you can grow to be the best you can be – we will make this happen.

You will relate to the Academy’s ethos of “the best in everyone” and enjoy working with a rich, diverse group of young people in a dynamic and vibrant learning environment. Walthamstow Academy is sponsored by United Learning. As part of the largest group of Academies and independent schools, we offer outstanding professional development

and career progression across both the maintained and independent sector. To conclude, we need someone who is passionate about making a difference, please get in touch.

Main Responsibilities

Supervise work that has been set by the teacher and respond to any questions from students.
Collect completed work after the lesson and pass to the appropriate teacher.
Ensure a clear, orderly environment in which the highest standards of learning take place during cover lessons.
Ensure students are aware of the learning objectives at the start of the lesson and are able to reflect upon their learning at the end.
Be aware of and support difference and ensure that students have equality of access to opportunities to learn and develop.
Provide feedback to the appropriate teacher including the work set and the students' response.
Report, as appropriate using the Academy’s agreed referral procedures, on the behaviour of students during the class and on any problems arising.
Support the day to day work of the Academy as directed when not supervising classes - this will include break and lunchtime duties, assisting with administrative work and providing in class learning support.
Invigilate examinations/testing and undertake other duties and supervisory tasks as requested.
Work with other Cover Supervisors to ensure the cover function retains the high status and students' respect that it deserves.
Carry out any other reasonable duties as directed by the Principal.
To act at all times in accordance with Academy policies and to provide a professional role model for students, parents and other staff.

Working for us

Walthamstow Academy opened its impressive new building in 2006 and since then we have achieved excellent results both at GCSE and at A Level. In 2019, Walthamstow Academy students achieved a Progress 8 score of 0.4). At A-Level, our students achieve excellently with many of them progressing to Russell Group institutions. Because we are so successful, the school is now full and oversubscribed on first choices alone.

We do not achieve these results by accident. At Walthamstow Academy, we believe in the best in everyone. We have a relentless focus on high expectations and aim to identify barriers to success and provide necessary support as quickly as possible to ensure our students achieve. We do not accept excuses and always strive for the best.

The Academy is proud of its multi-cultural character and we celebrate the diversity of heritage in our community. 84% of our students are from minority ethnic groups, many coming from African, Caribbean, Eastern European, Turkish and Pakistani communities.

Within the community served by the academy there is social and economic disadvantage with more than half of the students being eligible for Pupil Premium. One third of the students have a first language other than English and a significant number have low levels of literacy on entry. Many students enter the Academy with low levels of attainment and the staff work hard to add value to their performance. Standards across the Academy are above national averages in most subjects.

The Academy is located close to the North Circular Road, M11 and both Blackhorse Road and Walthamstow Central underground stations from where it takes about half an hour to get into central London. The Academy is situated in a part of London where property prices are still relatively inexpensive and within easy access of Epping Forest, the Lee Valley and rural Hertfordshire and Essex.

Walthamstow Academy has achieved the CPLD Gold Award in recognition of our investment in professional development, because we know that without our wonderful staff, what we have achieved would not be possible, so thank you for your interest in coming to work with us. It starts with someone like you believing you can contribute further to our community."
37,Regional Market Development Manager,Ditton,Operating Company ACTIVISION BLIZZARD UK LTD.,,"Priorities can often change in a fast-paced environment like ours, so this role includes, but is not limited to, the following responsibilities:
Identify and assess new business opportunities that meet the strategic needs of Activision Blizzard, including alternative revenues models, partnerships, and ancillary product opportunities
Lead deal development and prospecting, sourcing, and negotiating/closing (This includes proactively identifying potential business partners and negotiating agreements)
Gather and synthesize relevant data, lead analysis, and develop recommendations on business development priorities
Manage and extend existing partner relationships such as telcos, hardware manufacturers, etc.
Contribute to negotiations of internal business tools
Ensure the execution of contract points and track partner contractual compliance
Work closely with finance, marketing, and technical teams to support business development strategies
Player Profile
This role is a manager level position where you will thrive on a can-do attitude, not afraid to get completely involved in a working environment that will empower you to create new ideas and encourage you to think outside the box all whilst sharing in some great company benefits and initiatives. In addition you will have:
A Degree level Education (preferred) relevant to the experience required for the role. Proficiency in Turkish and English languages
A deal veteran with an understanding of the video game industry and the broader media landscape in the Middle East & Africa
Experienced negotiator, adept at negotiating sound commercial agreements and possesses a solid understanding of contracts including licensing agreements
Extensive experience in business development at a leading media and/or a content company
Have a strong understanding of financial analysis and modeling and comfortable developing and executing growth strategies
Clear self-motivation with a history of exceeding high performance standards
Ability to build productive relationships by using your excellent written and verbal English skills along with strong stakeholder management skills
Additional EU language (preferred)
Ability to handle sensitive and confidential information appropriately
Demonstrable experience in self-prioritizing of work and appropriately responses to urgent matters.
A willingness to travel should it be required in role.
You will be a confident, proactive and approachable personality that oozes team spirit with the added extra of being a go-getter, ambitious and tenacious in nature who can work autonomously when required all with a great sense of humour.
Finally a passion for gaming and entertainment is an absolute must.
Our World
Activision Blizzard, Inc. (NASDAQ: ATVI), is one of the world's largest and most successful interactive entertainment companies and is at the intersection of media, technology and entertainment. We are home to some of the most beloved entertainment franchises including Call of Duty®, World of Warcraft®, Overwatch®, Diablo®, Candy Crush™ and Bubble Witch™. Our combined entertainment network delights hundreds of millions of monthly active users in 196 countries, making us the largest gaming network on the planet!
Our ability to build immersive and innovate worlds is only enhanced by diverse teams working in an inclusive environment. We aspire to have a culture where everyone can thrive in order to connect and engage the world through epic entertainment. We provide a suite of benefits that promote physical, emotional and financial well-being for ‘Every World’ - we’ve got our employees covered!
The videogame industry and therefore our business is fast-paced and will continue to evolve. As such, the duties and responsibilities of this role may be changed as directed by the Company at any time to promote and support our business and relationships with industry partners.
Activision is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, protected veteran status, or any other basis protected by applicable law and will not be discriminated against on the basis of disability."
38,"Experience chef, experience waiters, experience barmen",Leigh-on-Sea SS9 1BZ,Damak restaurant,,"We are looking for experience barmen , experience chef (who worked in Turkish cuisine before) and experience waitress or waiter.
Job Types: Full-time, Part-time, Permanent
Salary: From £9.00 per hour
Benefits:
Flexible Schedule
Schedule:
Day shift
Night Shift
Weekends
Experience:
serving: 1 year (Preferred)
Duties:
Greeting and seating customers
Taking orders for food and drink
Serving food
Serving alcohol
Cleaning and resetting tables with dishes, glasses, and flatware as needed
Answering phone calls
Placing take-away orders
Cleaning duties such as stocking, sanitising, sweeping floors, washing dishes, etc.
Work remotely:
No"
39,Support Worker,North London N7 7PH,BRIGHT FUTURE CARE,,"Company description
In 2016, a dedicated and caring family team decided it was time to revolutionise the way care in the home was delivered. By concentrating on the highest quality of customer service and providing expert quality compassionate care. We strive in upholding the very best in professional care provision. We also promote independence for our service users so they can live a life full of joy and empowerment.
Our Values
Provide high quality flexible, personalised services with an outcome-based approach, providing service users real choice and control.
Provide support chosen by the preferences of the service user regardless of race, colour or creed.
Ensure that the support is provided based on a thorough agreed assessment of each individual’s flexible perceived goals and outcomes.
Work in partnership with service users’ families, and other members of the multidisciplinary health professional team.
Support staff with the provision of services with privacy dignity and respect.
Embrace and encourage feedback from our service users in order to ensure the service provided is of the highest quality.
Deliver services with staff suitably trained and assessed as competent to carry out their duties.
Promote staff to treat each other and our clients with respect, professionalism, consideration and of utmost importance compassion.
Empower staff and service users to take responsibility for their own health and well being by providing information to enable choices.
Continually improve the quality of our service by listening to service users, staff and by learning from what we do.
Big Emphasis on teamwork and communication
Job description
As a Support Worker in this role duties will vary dependent on each client’s individual care plan. These may include supporting clients in community outings and social visits.
We are seeking support workers to support Elderly Client in the Islington area whom require complex care. Preferably Bangladeshi or of Caribbean Decent and Turkish Females as we Currently need to provide service for Clients who Requested this. Rates of Pay: £9 - 10.25
What can we offer you:
Monthly pay plus holiday pay
Flexible working hours
Ongoing training and development opportunities
If you have any of the following experience, it will support your application – but even if you Don’t we can still offer FREE training in all Following areas:
Reference ID: 17584K
Contract length: 3 months
Expected start date: 07/09/2020
Job Types: Full-time, Part-time, Temporary
Salary: £9.00-£10.25 per hour
Schedule:
Day shift
Experience:
Support Environment: 1 year (Preferred)
Location:
North London N7 7PH (Preferred)
Licence:
NVQ Level 2 Health & Social Care (Preferred)"
40,Kitchen Porter,Romford RM2 5EB,Raphael's Turkish Restaurant,,"Hi, . . Raphael's restaurant is looking for a full time/part time KP to join the team, as a casual fine dining restaurant we are looking for a passionate and hardworking Kitchen Porter. . . We are a busy restaurant, so attention to detail, good time keeping and efficient working style is a must. There is also great progression opportunity within the restaurant, learning about food, preparation and commis level positions. . . Look forward to hearing from you, . . Raphael's restaurant, Experience: English language not a must but is an advantage , bilingual are welcomed – Advanced Employment: Full-time/ part time Starting time: Immediate start! About Raphael's restaurant: We are an independent restaurant located in Romford, with a focus on local fresh produce.
find out more: https://www.raphaels-restaurant.co.uk/
Job Types: Full-time, Temporary, Permanent
Salary: £8.72 per hour
Benefits:
Flexible schedule
Schedule:
8 hour shift
Monday to Friday
Weekends
Work remotely:
No"
